date_documented,year_found,Season,Country_Code,Country,Location,latitude,longitude,UFO_shape,length_of_encounter_seconds,Description,,,,,,
10/27/2004,1966,Spring,VNM,Vietnam,Da Nang,16.054407,108.202167,Disk,300,Craft was seen at about 22:00 hours in the combat area none as I Corps. This ia about 50 miles outside of Da nang. The craft was hugh.,,,,,,
10/27/2004,1966,Spring,VNM,Vietnam,Gia Lai Province,14.058324,108.277199,Disk,600,Object moved very slow over our position. There was wind with turblence. no lights. object was Black.Huge,,,,,,
3/13/2012,1966,Summer,VNM,Vietnam,Gia Lai Province,14.058324,108.277199,Circle,480,Object was seen less than 300 feet from the ground it was in our free fire zone I was armed with a M60 michine gun I made no attempt to,,,,,,
1/17/2004,1966,Summer,VNM,Vietnam,Bình Định Province,13.782967,109.219663,Circle,20,ORANGE GLOWNG LIGHT MOVING TOWARD US  STOPPING BREFLY AND BACKING UP AND THE LIGHT WENT OUT,,,,,,
6/20/2005,1966,Summer,VNM,Vietnam,Khánh Hòa Province,11.893334,109.170167,Unknown,600,The object with its bright light bounced up and down over the flightline like a bouncing ball&#44and had no engine sound.,,,,,,
12/3/2004,1967,Autumn,VNM,Vietnam,Gia Lai Province,14.058324,108.277199,Other,3600,Lights in the Nam,,,,,,
4/16/2005,1967,Autumn,VNM,Vietnam,Da Nang,16.054407,108.202167,Light,60,Bright object travelling across the sky made a sudden 90 degree turn.,,,,,,
4/27/2007,1967,Winter,VNM,Vietnam,Khánh Hòa Province,11.893334,109.170167,Cigar,30,Saw UFO when in Viet Nam..no doubt about it.,,,,,,
6/12/2007,1967,Summer,VNM,Vietnam,Gia Lai Province,14.058324,108.277199,Light,120,Submerged light under aircraft carrier.,,,,,,
10/10/2011,1967,Autumn,VNM,Vietnam,Gia Lai Province,14.058324,108.277199,Other,900,In Viet Nam night sky&#44 watched object move zig zag across sky then shoot straight up and disappear.,,,,,,
5/2/2014,1968,Winter,THA,Thailand,Udon Thani Province,17.364697,102.815892,Sphere,1800,Zig Zagging bright light over USAF Air Base in thailand 1968,,,,,,
4/16/2005,1968,Summer,THA,Thailand,Rayong Province,12.680084,101.006255,Formation,1200,Multiple lights in formation appearing on a horizontal line in the NNW sky,,,,,,
9/17/2000,1968,Winter,VNM,Vietnam,Da Nang,16.054407,108.202167,Unknown,600,Silent&#44 slow moving light that eventually took off very fast.,,,,,,
10/30/2006,1968,Summer,VNM,Vietnam,Da Nang,16.054407,108.202167,Circle,240,Clear Star lit sky.Don&#39t remember date&#44 but was not close to rain season. North east sky why on duty at airbase was watching red tracer,,,,,,
1/10/2009,1968,Summer,VNM,Vietnam,Bình Định Province,14.44224,109.003713,Light,600,Navy fighter jets reported that objects had blown their doors off.,,,,,,
11/20/2001,1968,Summer,VNM,Vietnam,Bình Định Province,13.782967,109.219663,Light,420,2 high altitude lights making oblique turns&#44 starts and stops&#44 and then shooting into space at incredible speed.,,,,,,
7/16/2003,1969,Winter,VNM,Vietnam,Gia Lai Province,14.058324,108.277199,Disk,900,Saucer and Dome observed by Starlite Scope in Vietnam During the War.,,,,,,
4/27/2007,1969,Summer,VNM,Vietnam,Binh Duong province,11.296371,106.806039,Unknown,120,I was on perimeter guard duty with 3 others who were off watch and asleep.I remember this vividly and can&#39t ever forget it.while lookin,,,,,,
1/5/2011,1970,Summer,PHL,Philippines,Bulacan,14.749886,120.973929,Light,20,Two UFO flying up and down back and forth in the speed of light (1970&#39s),,,,,,
6/4/2004,1970,Autumn,VNM,Vietnam,Gia Lai Province,14.058324,108.277199,Light,600,U.F.O. in Vietnam    1970,,,,,,
8/12/2008,1972,Autumn,LAO,Laos,Champasak Province,15.116667,105.783333,Circle,240,As I walked out from Pakse Tactical AFB headquarters at around 1700&#44 a bright jellyfish-like object hovered above the city.,,,,,,
3/16/2012,1972,Spring,VNM,Vietnam,Gia Lai Province,14.058324,108.277199,Circle,720,Object was about 150 meters in size was in our free kill zone I was armed but did not fire because of its size it was less than 500ft f,,,,,,
9/19/2002,1974,Summer,PHL,Philippines,Capitol Site,10.315699,123.885437,Unknown,300,A  huge craft&#44 (observed during nightime) like one entire city in the sky or millions of jetplanes flying in formation (no sound),,,,,,
5/15/2013,1975,Summer,PHL,Philippines,Pangasinan,15.916667,120.416667,Disk,3600,7 saucer shaped crafts 2 to 3 buses in diameter hoovering in line formation above much a little higher than the electric cables,,,,,,
7/16/2006,1976,Summer,PHL,Philippines,Tarlac,15.475479,120.596349,Other,600,One big object the size of four hectars and two other objects the size of four passenger buses put side by side.,,,,,,
2/16/1999,1977,Autumn,PHL,Philippines,Laguna,14.169912,121.244063,Unknown,60,While satellite gazing at night&#44 three objects moving in the upper atmosphere stopped completely for a second&#44 then proceeded in differ,,,,,,
9/2/2005,1981,Spring,PHL,Philippines,Romblon,12.879721,121.774017,Light,600,I was looking on the sky two lights moving slowly its look like they seeking each other.,,,,,,
7/23/2003,1985,Summer,THA,Thailand,Phetchabun Province,15.870032,100.992541,Triangle,300,Three U.S. Navy personel witness triangular shaped object in day time sky outside popular Thailand tourest area.,,,,,,
3/9/2004,1986,Winter,MYS,Malaysia,Pahang,3.139623,102.379101,Unknown,60,Sharp turning flying object with orange light in Malaysia. Year 1986 Feb 9th.,,,,,,
1/17/2004,1987,Spring,PHL,Philippines,Mansilingan,10.640739,122.968956,Light,120,Daylight &quot;disc&quot; ? Over Negros Island&#44 Philippines&#44 by amateur astronomer working on Observatory dome,,,,,,
2/14/2006,1987,Autumn,PHL,Philippines,Zambales,14.83863,120.284202,Triangle,1800,Philippine naval base sighting of a ufo/uso with binoculars in hand,,,,,,
7/16/2006,1991,Winter,BRN,Brunei,Bandar Seri Begawan,4.890278,114.942222,Other,15,closest encounter with a UFO - 30-40 feet away,,,,,,
1/11/2002,1994,Summer,PHL,Philippines,Romblon,12.879721,121.774017,Sphere,5,blue light flying sphere,,,,,,
8/21/2011,1995,Autumn,LAO,Laos,Luang Prahbang�,19.889271,102.133453,Triangle,120,"It was a triangular craft motionless with flasfing lights, suddenly it flipped over and took off at amazing speed it never made a sound",,,,,,
2/12/2004,1995,Winter,MYS,Malaysia,Selangor,3.043061,101.440657,Fireball,480,The sun was setting&#44 was in car with my mother heading home from grocery store.saw floating fireballs like in the sky. tought they,,,,,,
12/16/2005,1996,Spring,PHL,Philippines,Romblon,12.879721,121.774017,Formation,180,It about during the easter festivities that year when I saw three red-orange dots came together from different sides to form a perfect,,,,,,
12/2/2000,1997,Autumn,PHL,Philippines,Quezon,13.960106,122.541582,Light,300,Multi-colored &quot;pole&#44&quot; appearing to hang in the sky for several minutes before dissipating slowly&#44 from top to bottom&#44 into darkness.,,,,,,
8/28/2002,1997,Spring,SG,Singapore,Singapore,1.352083,103.819836,Disk,5,i saw this couple of years ago. never know abt this site until recently. i was staring at the skys for stars that nite&#44 suddenly&#44 i saw,,,,,,
3/4/2003,1997,Summer,SG,Singapore,Singapore,1.352083,103.819836,Other,7200,Star-Like Shaped Cruised From South To North,,,,,,
4/2/1999,1997,Autumn,THA,Thailand,Prachuap Khiri Khan Province,12.568375,99.957689,Rectangle,15,Shape of a foot-long ruler.  Seemingly semi-transparant.  4 glowing spots (not blinking) arranged evenly accross bottom.  High and extr,,,,,,
3/7/1998,1997,Winter,THA,Thailand,Phuket Province,7.880448,98.39225,Formation,615,12 slow moving red/orange pulsating objects over Phuket&#44 Thailand about 10:05 on Christmas Eve.,,,,,,
8/20/2001,1998,Winter,PHL,Philippines,Zambales,15.332977,119.975756,Triangle,900,A triangular UFO full of white lights and a blue and red light on each wing.,,,,,,
5/15/2006,1998,Spring,PHL,Philippines,Capitol Site,10.315699,123.885437,Other,5263200,End of the Century UFO,,,,,,
11/26/2003,1998,Summer,PHL,Philippines,Leyte,10.370812,124.753367,Changing,600,the object had landed in the other hill on the other side of the village we could still see it,,,,,,
11/1/1998,1998,Summer,SG,Singapore,Singapore,1.352083,103.819836,Other,600,I were on the express way when i saw an object in the sky about 200meter far looks like the Stealth floating in the sky. Many people ha,,,,,,
10/19/1999,1999,Autumn,MYS,Malaysia,Sabah,6.168561,116.234834,Fireball,240,2 glowing fireball (white blue) crossing from west coast going to Mt. Kinabalu direction. Elevation more than ten thousands feet approx,,,,,,
3/21/2003,1999,Winter,MYS,Malaysia,Selangor,3.090607,101.529597,Fireball,30,We saw a green fire ball moving fast between the cloud for about 30 secs. with no sound or and fast.,,,,,,
12/2/2000,1999,Winter,MYS,Malaysia,Sabah,5.976474,116.115777,Disk,120,Shiny metallic object&#44 disc shaped&#44 silent and hovering.,,,,,,
6/23/1999,1999,Spring,MYS,Malaysia,Negeri Sembilan,2.718592,101.948988,Other,120,Mohd Fahmi&#44 a Malaysian boy wakes up hearing sound of zinc roof being blown by strong winds.  Saw blindingly bright craft hovering near,,,,,,
8/28/2003,1999,Summer,MYS,Malaysia,Johor,1.46343,103.754715,Oval,30,maybe a shadow of an invisible UFO. maybe there can disguise like the sky&#44 but still there will be shadow for it,,,,,,
6/23/1999,1999,Spring,PHL,Philippines,Misamis Occidental,8.148388,123.837149,Triangle,5,w shape with lights on its side &#44i thought it was a migratotry bird  or a stealt flying in the night but it could not be a bird because,,,,,,
8/1/2003,2000,Spring,TLS,East Timor,Ainaro,-9.011317,125.522001,Unknown,45,There were three to four evenly spaced lights approx. 3 to 4 feet in diameter&#44 no craft visible&#44 no sound.,,,,,,
12/2/2000,2000,Autumn,MYS,Malaysia,Pahang,3.824973,103.3239,Sphere,300,I&#39m the Chinese which has staying in Malaysia (Asia Country). I saw the crafts which look like sphere shape flying in the sky for about,,,,,,
9/24/2012,2000,Spring,MYS,Malaysia,Kuala Lumpur,3.139003,101.686855,Triangle,2700,At the time of my UFO siting I was on a business trip with two of my colleagues in Malaysia. We were having dinner at one of the restau,,,,,,
9/17/2000,2000,Summer,MYS,Malaysia,Kuala Lumpur,3.139003,101.686855,Other,2,there was only one object&#44it was like falling down&#44 while the time it falling down&#44 it shown a &#39V&#39 shape&#44 i believe it was a UFO&#44 becau,,,,,,
12/2/2000,2000,Autumn,MYS,Malaysia,Sabah,5.976474,116.115777,Cigar,480,glowing white cigar shaped cylindrical object,,,,,,
